final_name,batch
FUSCCTNBC140.TT,batch_3
FUSCCTNBC140.TT,batch_3
FUSCCTNBC142.TT,batch_30
FUSCCTNBC142.TT,batch_30
FUSCCTNBC143.TT,batch_7
FUSCCTNBC143.TT,batch_7
FUSCCTNBC146.TT,batch_3
FUSCCTNBC146.TT,batch_3
FUSCCTNBC147.TT,batch_12
FUSCCTNBC147.TT,batch_12
FUSCCTNBC148.TT,batch_12
FUSCCTNBC148.TT,batch_12
FUSCCTNBC149.TT,batch_7
FUSCCTNBC149.TT,batch_7
FUSCCTNBC150.TT,batch_7
FUSCCTNBC150.TT,batch_7
FUSCCTNBC152.TT,batch_7
FUSCCTNBC152.TT,batch_7
FUSCCTNBC155.TT,batch_17_2
FUSCCTNBC155.TT,batch_17_2
FUSCCTNBC156.TT,batch_3
FUSCCTNBC156.TT,batch_3
FUSCCTNBC158.TT,batch_3
FUSCCTNBC158.TT,batch_3
FUSCCTNBC159.TT,batch_19
FUSCCTNBC159.TT,batch_19
FUSCCTNBC160.TT,batch_3
FUSCCTNBC160.TT,batch_3
FUSCCTNBC161.TT,batch_12
FUSCCTNBC161.TT,batch_12
FUSCCTNBC166.TT,batch_13
FUSCCTNBC166.TT,batch_13
FUSCCTNBC168.TT,batch_17_2
FUSCCTNBC168.TT,batch_17_2
FUSCCTNBC170.TT,batch_7
FUSCCTNBC170.TT,batch_7
FUSCCTNBC171.TT,batch_7
FUSCCTNBC171.TT,batch_7
FUSCCTNBC173.TT,batch_3
FUSCCTNBC173.TT,batch_3
FUSCCTNBC174.TT,batch_3
FUSCCTNBC174.TT,batch_3
FUSCCTNBC175.TT,batch_7
FUSCCTNBC175.TT,batch_7
FUSCCTNBC176.TT,batch_7
FUSCCTNBC176.TT,batch_7
FUSCCTNBC177.TT,batch_7
FUSCCTNBC177.TT,batch_7
FUSCCTNBC178.TT,batch_10
FUSCCTNBC178.TT,batch_10
FUSCCTNBC179.TT,batch_13
FUSCCTNBC179.TT,batch_13
FUSCCTNBC181.TT,batch_3
FUSCCTNBC181.TT,batch_3
FUSCCTNBC183.TT,batch_13
FUSCCTNBC183.TT,batch_13
FUSCCTNBC184.TT,batch_10
FUSCCTNBC184.TT,batch_10
FUSCCTNBC186.TT,batch_28
FUSCCTNBC186.TT,batch_28
FUSCCTNBC188.TT,batch_13
FUSCCTNBC188.TT,batch_13
FUSCCTNBC190.TT,batch_13
FUSCCTNBC190.TT,batch_13
FUSCCTNBC194.TT,batch_10
FUSCCTNBC194.TT,batch_10
FUSCCTNBC195.TT,batch_10
FUSCCTNBC195.TT,batch_10
FUSCCTNBC196.TT,batch_13
FUSCCTNBC196.TT,batch_13
FUSCCTNBC197.TT,batch_13
FUSCCTNBC197.TT,batch_13
FUSCCTNBC198.TT,batch_19
FUSCCTNBC198.TT,batch_19
FUSCCTNBC201.TT,batch_19
FUSCCTNBC201.TT,batch_19
FUSCCTNBC202.TT,batch_13
FUSCCTNBC202.TT,batch_13
FUSCCTNBC203.TT,batch_5
FUSCCTNBC203.TT,batch_5
FUSCCTNBC204.TT,batch_13
FUSCCTNBC204.TT,batch_13
FUSCCTNBC205.TT,batch_13
FUSCCTNBC205.TT,batch_13
FUSCCTNBC211.TT,batch_28
FUSCCTNBC211.TT,batch_28
FUSCCTNBC212.TT,batch_10
FUSCCTNBC212.TT,batch_10
FUSCCTNBC214.TT,batch_13
FUSCCTNBC214.TT,batch_13
FUSCCTNBC215.TT,batch_10
FUSCCTNBC215.TT,batch_10
FUSCCTNBC216.TT,batch_19
FUSCCTNBC216.TT,batch_19
FUSCCTNBC220.TT,batch_10
FUSCCTNBC220.TT,batch_10
FUSCCTNBC223.TT,batch_28
FUSCCTNBC223.TT,batch_28
FUSCCTNBC225.TT,batch_20
FUSCCTNBC225.TT,batch_20
FUSCCTNBC227.TT,batch_4
FUSCCTNBC227.TT,batch_4
FUSCCTNBC228.TT,batch_4
FUSCCTNBC228.TT,batch_4
FUSCCTNBC230.TT,batch_4
FUSCCTNBC230.TT,batch_4
FUSCCTNBC233.TT,batch_29
FUSCCTNBC233.TT,batch_29
FUSCCTNBC234.TT,batch_4
FUSCCTNBC234.TT,batch_4
FUSCCTNBC235.TT,batch_22
FUSCCTNBC235.TT,batch_22
FUSCCTNBC236.TT,batch_29
FUSCCTNBC236.TT,batch_29
FUSCCTNBC237.TT,batch_30
FUSCCTNBC237.TT,batch_30
FUSCCTNBC238.TT,batch_4
FUSCCTNBC238.TT,batch_4
FUSCCTNBC239.TT,batch_6
FUSCCTNBC239.TT,batch_6
FUSCCTNBC240.TT,batch_6
FUSCCTNBC240.TT,batch_6
FUSCCTNBC244.TT,batch_6
FUSCCTNBC244.TT,batch_6
FUSCCTNBC245.TT,batch_6
FUSCCTNBC245.TT,batch_6
FUSCCTNBC246.TT,batch_29
FUSCCTNBC246.TT,batch_29
FUSCCTNBC247.TT,batch_6
FUSCCTNBC247.TT,batch_6
FUSCCTNBC249.TT,batch_29
FUSCCTNBC249.TT,batch_29
FUSCCTNBC250.TT,batch_13
FUSCCTNBC250.TT,batch_13
FUSCCTNBC251.TT,batch_6
FUSCCTNBC251.TT,batch_6
FUSCCTNBC252.TT,batch_6
FUSCCTNBC252.TT,batch_6
FUSCCTNBC254.TT,batch_6
FUSCCTNBC254.TT,batch_6
FUSCCTNBC255.TT,batch_6
FUSCCTNBC255.TT,batch_6
FUSCCTNBC256.TT,batch_6
FUSCCTNBC256.TT,batch_6
FUSCCTNBC257.TT,batch_29
FUSCCTNBC257.TT,batch_29
FUSCCTNBC258.TT,batch_6
